@RELATION 'Amazon Product Reviews'

@ATTRIBUTE sentence STRING 
@ATTRIBUTE classAttribute {Positive,Negative}

@DATA
'I\'ve dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).',Positive
'Oh and I forgot to also mention the weird color effect it has on your phone.',Negative
'Reception is terrible and full of static.',Negative
'Easy to use.',Positive
'I don\'t think it would hold it too securly on your belt.',Negative
'Very wind-resistant.',Positive
'It was a great phone.',Positive
'none of the new ones have ever quite worked properly.',Negative
'Talk about USELESS customer service.',Negative
'Items stated as included from the description ARE NOT INCLUDED.',Negative
'Can\'t store anything but phone numbers to SIM.',Negative
'I would highly recommend this product.',Positive
'Also its slim enough to fit into my alarm clock docking station without removing the case.',Positive
'I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.',Positive
'Very unreliable service from T-mobile !',Negative
'Thanks again to Amazon for having the things I need for a good price!',Positive
'The voice recognition thru the handset is excellent.',Positive
'T-Mobile has the best customer service anywhere.',Positive
'The pleather case doesn\'t fit.',Negative
'I\'m still infatuated with this phone.',Positive
Disappointed!.,Negative
'Comfortable in my hand.',Positive
'You never know if you pushed it hard enough or the right number of times for the function you want or not.',Negative
'The text messaging feature is really tricky to use.',Negative
'The sound quality is good and functionality is awesome.',Positive
'It felt too light and "tinny.".',Negative
'Thank you for wasting my money.',Negative
'I would recommend this.',Positive
'Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).',Positive
'I bought this phone as a replacement for my StarTac and have regretted it since.',Negative
'I only hear garbage for audio.',Negative
'I have yet to run this new battery below two bars and that\'s three days without charging.',Positive
'I wear it everyday and it holds up very well.',Positive
'Battery life is real good.',Positive
'It definitely was not as good as my S11.',Positive
'Highly recommend for any one who has a blue tooth phone.',Positive
'Battery life still not long enough in Motorola Razor V3i.',Negative
'They made this case too small and is very difficult to install.',Negative
'These are fabulous!',Positive
'You can not answer calls with the unit, never worked once!',Negative
'Overall, I would recommend this phone over the new Walkman.',Positive
'WORST PHONE EVER.',Negative
'It\'s a great item.',Positive
'If you like a loud buzzing to override all your conversations, then this phone is for you!',Negative
'The replacement died in a few weeks.',Negative
'I\'ve missed numerous calls because of this reason.',Negative
'I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!',Positive
'This case has passed the one year mark and while it shows signs of wear, it is 100% functional.',Positive
'Disapointing Results.',Negative
'Definitely a bargain.',Positive
'Excellent dual-purpose headset.',Positive
'I great reception all the time.',Positive
'Great Earpiece.',Positive
'It is a joy to use.',Positive
'What possesed me to get this junk, I have no idea...',Negative
'REALLY UGLY.',Negative
'That company is a joke.',Negative
'Crisp and Clear.',Positive
'Problem is that the ear loops are made of weak material and break easily.',Negative
'Very disappointing.',Negative
'Buttons are too small.',Negative
'A lot of websites have been rating this a very good phone and so do I.',Positive
'I have a Verizon LG phone and they work well together, good reception and range that exceeds 20 feet line of sight.',Positive
'They do not last forever, but is not overly expensive to replace.Easy to operate and the sound is much better than others I have tried.',Positive
'So I basically threw my money out the window for nothing.',Negative
'The commercials are the most misleading.',Negative
'All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.',Negative
'Returned 8 hours later.',Negative
'Very good quality though',Positive
'Adapter does not provide enough charging current.',Negative
'My only complaint is the standard sound volume is a little low even when turned up to 5(of 5)',Negative
'I get absolutely horrible reception in my apartment, where with other phones I have not had this problem.',Negative
'This product is clearly not ready for prime time, I don\'t care how cool it looks, if you can\'t tell a call is coming in it\'s worthless.',Negative
'Great Phone.',Positive
'The biggest complaint I have is, the battery drains superfast.',Negative
'There\'s a horrible tick sound in the background on all my calls that I have never experienced before.',Negative
'Lousy product.',Negative
'I received it quickly and it works great!!',Positive
'Excellent product for the price.',Positive
'Works well.',Positive
'Rip off---- Over charge shipping.',Negative
'No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn\'t be more happier with my new one for the Droid.',Positive
'Not as good as I had hoped.',Negative
'I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.',Negative
'If you like a loud buzzing to override all your conversations, then this phone is for you!',Negative
'It\'s kind of embarrassing to use because of how it looks and mostly it\'s embarrassing how child-like the company is.',Negative
'I am pairing this with my iphone, and I could not be happier with it so far.',Positive
'Avoid this one if you can.',Negative
'Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.',Positive
'I love this cable - it allows me to connect any mini-USB device to my PC.',Positive
'We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement',Negative
'Those phones are working just fine now.',Positive
'Excellent Phone.',Positive
'This battery is an excellent bargain!',Positive
'the only VERY DISAPPOINTING thing was there was NO SPEAKERPHONE!!!!',Negative
'The color is even prettier than I thought it would be, and the graphics are incredibly sharp.',Positive
'!I definitly recommend!!',Positive
'It only recognizes the Phone as its storage device.',Negative
'It\'s so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.',Negative
'It is the best charger I have seen on the market yet.',Positive
'Nice Sound.',Positive
'Truly awful.',Negative
'Design Flaw?.',Negative
'Great Product.',Positive
'AMAZON SUCKS.',Negative
'Plus, I seriously do not believe it is worth its steep price point.',Negative
'Nice headset priced right.',Positive
'This device is great in several situations:1.)',Positive
'O my gosh the best phone I have ever had.',Positive
