@RELATION Yelp

@ATTRIBUTE sentence STRING 
@ATTRIBUTE classAttribute {Positive,Negative}

@DATA
'Waitress was good though!',Positive
'Very good food, great atmosphere.1',Positive
'However, there was so much garlic in the fondue, it was barely edible.',Negative
'Awesome selection of beer.',Positive
'Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.',Positive
'The manager was the worst.',Negative
'On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.',Negative
'The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.',Negative
'A great way to finish a great.',Positive
'Always a great time at Dos Gringos!',Positive
'I\'ve had better bagels from the grocery store.',Negative
'This place is disgusting!',Negative
'This place deserves one star and 90% has to do with the food.',Negative
'In the summer, you can dine in a charming outdoor patio - so very delightful.',Positive
'It was just not a fun experience.',Positive
'Of all the dishes, the salmon was the best, but all were great.',Positive
'Not good by any stretch of the imagination.',Negative
'In summary, this was a largely disappointing dining experience.',Negative
'- They never brought a salad we asked for.',Negative
'Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!',Negative
'My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.',Positive
'I just don\'t know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.',Negative
'The desserts were a bit strange.',Negative
'Paying $7.85 for a hot dog and fries that looks like it came out of a kid\'s meal at the Wienerschnitzel is not my idea of a good meal.',Negative
'Best tater tots in the southwest.',Positive
'When I opened the sandwich, I was impressed, but not in a good way.',Negative
'The WORST EXPERIENCE EVER.',Negative
'The owner used to work at Nobu, so this place is really similar for half the price.',Positive
'Honeslty it didn\'t taste THAT fresh.)',Negative
'I was so insulted.',Negative
'The food is good.',Positive
'I won\'t be back.',Negative
'We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.',Negative
'How awesome is that.',Positive
'You won\'t be disappointed.',Positive
'An excellent new restaurant by an experienced Frenchman.',Positive
'Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.',Positive
'Left very frustrated.',Negative
'Nicest Chinese restaurant I\'ve been in a while.',Positive
'This place is overpriced, not consistent with their boba, and it really is OVERPRICED!',Negative
'Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.',Negative
'A good time!',Positive
'It was packed!!',Negative
'Hell no will I go back',Negative
'He came running after us when he realized my husband had left his sunglasses on the table.',Positive
'did not like at all.',Negative
'When my mom and I got home she immediately got sick and she only had a few bites of salad.',Negative
'Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.',Negative
'The yellowtail carpaccio was melt in your mouth fresh.',Positive
'The Macarons here are insanely good.',Positive
'I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.',Negative
'I loved the bacon wrapped dates.',Positive
'Don\'t waste your time here.',Negative
'As for the service: I\'m a fan, because it\'s quick and you\'re being served by some nice folks.',Positive
'I LOVED it!',Positive
'Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!',Positive
'Ample portions and good prices.',Positive
'This is a great restaurant at the Mandalay Bay.',Positive
'Wow very spicy but delicious.',Positive
'The cocktails are all handmade and delicious.',Positive
'I could eat their bruschetta all day it is devine.',Positive
'It was attached to a gas station, and that is rarely a good sign.',Negative
'Avoid at all cost!',Negative
'I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.',Negative
'This place lacked style!!',Negative
'I had about two bites and refused to eat anymore.',Negative
'Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.',Negative
'I got food poisoning here at the buffet.',Negative
'This is a really fantastic Thai restaurant which is definitely worth a visit.',Positive
'Once you get inside you\'ll be impressed with the place.',Positive
'They brought a fresh batch of fries and I was thinking yay something warm but no!',Negative
'Then, as if I hadn\'t wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.',Negative
'The wontons were thin, not thick and chewy, almost melt in your mouth.',Positive
'Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.',Negative
'And service was super friendly.',Positive
'Once your food arrives it\'s meh.',Negative
'I can say that the desserts were yummy.',Positive
'I wasn\'t really impressed with Strip Steak.',Negative
'The staff are great, the ambiance is great.',Positive
'We had fantastic service, and were pleased by the atmosphere.',Positive
'Everything was fresh and delicious!',Positive
'Definitely worth venturing off the strip for the pork belly, will return next time I\'m in Vegas.',Positive
'The lighting is just dark enough to set the mood.',Positive
'The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!',Negative
'Great food and awesome service!',Positive
'This one is simply a disappointment.',Negative
'This hole in the wall has great Mexican street tacos, and friendly staff.',Positive
'I had a pretty satifying experience.',Positive
'After all the rave reviews I couldn\'t wait to eat here......what a disappointment!',Negative
'Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.',Negative
'Eew... This location needs a complete overhaul.',Negative
'Also, the fries are without a doubt the worst fries I\'ve ever had.',Negative
'Overall, a great experience.',Positive
'Everything was perfect the night we were in.',Positive
'I didn\'t know pulled pork could be soooo delicious.',Positive
'My husband and I ate lunch here and were very disappointed with the food and service.',Negative
'Everything was good and tasty!',Positive
'I can\'t tell you how disappointed I was.',Negative
'Every time I eat here, I see caring teamwork to a professional degree.',Positive
'We had 7 at our table and the service was pretty fast.',Positive
'Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.',Positive
'Level 5 spicy was perfect, where spice didn\'t over-whelm the soup.',Positive
'It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.',Negative
'definitely will come back here again.',Positive
'The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.',Positive
'Very disappointing!!!',Negative
'Kids pizza is always a hit too with lots of great side dish options for the kiddos!',Positive
'I\'ll take my business dinner dollars elsewhere.',Negative
'Also, I feel like the chips are bought, not made in house.',Negative
'What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.',Negative
'The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.',Positive
'The scallop dish is quite appalling for value as well.',Negative
'Interesting decor.',Positive
'Needless to say, we will never be back here again.',Negative
'This place receives stars for their APPETIZERS!!!',Positive
'But now I was completely grossed out.',Negative
'As for the "mains," also uninspired.',Negative
'Fantastic food!',Positive
'One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn\'t expect more tip than that.',Positive
'Their chow mein is so good!',Positive
'The selection of food was not the best.',Negative
'This place deserves no stars.',Negative
'Lastly, the mozzarella sticks, they were the best thing we ordered.',Positive
'The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.',Negative
'Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.',Negative
'I ordered the Lemon raspberry ice cocktail which was also incredible.',Positive
'The selection on the menu was great and so were the prices.',Positive
'From what my dinner companions told me...everything was very fresh with nice texture and taste.',Positive
'Not much flavor to them, and very poorly constructed.',Negative
'The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!',Positive
'The food was terrible.',Negative
'The service here is fair at best.',Negative
'After the disappointing dinner we went elsewhere for dessert.',Negative
'Worst food/service I\'ve had in a while.',Negative
'I think not again',Negative
'Extremely Tasty!',Positive
'I think this restaurant suffers from not trying hard enough.',Negative
'My husband said she was very rude... did not even apologize for the bad food or anything.',Negative
'Couldn\'t ask for a more satisfying meal.',Positive
'What a mistake that was!',Negative
'This place is not quality sushi, it is not a quality restaurant.',Negative
'2 times - Very Bad Customer Service !',Negative
'Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.',Positive
'The live music on Fridays totally blows.',Negative
'Pretty awesome place.',Positive
'Based on the sub-par service I received and no effort to show their gratitude for my business I won\'t be going back.',Negative
'The ambiance isn\'t much better.',Negative
'A FLY was in my apple juice.. A FLY!!!!!!!!',Negative
'I mean really, how do you get so famous for your fish and chips when it\'s so terrible!?!',Negative
'So we went to Tigerlilly and had a fantastic afternoon!',Positive
'I vomited in the bathroom mid lunch.',Negative
'a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.',Negative
'We definately enjoyed ourselves.',Positive
'The burger... I got the "Gold Standard" a $17 burger and was kind of disappointed.',Negative
'Needless to say, I won\'t be going back anytime soon.',Negative
